Device_ID,Device_Type,Purchase_Date,Age,Manufacturer,Model,Country,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,Maintenance_Class,Maintenance_Report,Operational_Hours_Est,Expected_Lifespan_Est,MTBF,Cost_Per_Hour,Lifespan_Usage_Ratio,Risk_Class,Risk_Class_Label
MD00040,MRI Scanner,12-12-2021,4,RescueTech,Model-450,Italy,6205.737841,2.941561029,1,1,1,System performance degraded due to abnormal sound; mitigation via firmware update. minor issue log file cleared,36771,12,34903.56367,0.263435966,0.334983011,Medium Risk,1
MD00041,MRI Scanner,02-07-2014,11,CardioSync,Model-200,USA,4608.729557,4.641373058,1,1,1,System performance degraded due to voltage spike; mitigation via firmware update. minor issue minor issue,97403,12,95655.17839,-0.089312471,0.822655925,Medium Risk,1
MD00042,Infusion Pump,15-12-2018,7,MedEquip,Model-600,UK,2628.085049,14.24112464,1,1,2,data lag caused operational delay; replacement initiated. component issue driver update applied,61090,12,60662.8219,-0.018277287,0.859851909,Medium Risk,1
MD00043,Infusion Pump,25-06-2015,10,ScanPro,Model-500,UK,4023.920486,7.724581438,1,6,2,Routine check completed; sensor misalignment observed during diagnostics. moderate delay performance warning,87401,12,13744.88894,0.066864602,0.834163428,Medium Risk,1
MD00044,Infusion Pump,29-03-2021,4,ScanPro,Model-550,Japan,10774.05963,8.204769913,5,1,2,Component replacement after detecting battery wear; functionality restored. driver update performance warning,34734,12,34190.39682,0.296539493,0.248292128,Medium Risk,1
MD00045,Defibrillator,02-01-2019,6,UltraMed,Model-600,Italy,2346.409769,26.67303969,5,3,3,battery wear caused operational delay; recalibration initiated. critical failure critical failure,55858,12,16611.99091,-0.109712129,0.714825011,Medium Risk,1
MD00046,Defibrillator,23-03-2016,9,ImagingTech,Model-250,Canada,3721.051934,2.576169728,1,3,1,battery wear caused operational delay; firmware update initiated. software reset log file cleared,78573,12,27188.52984,0.097655228,0.576790806,Medium Risk,1
MD00047,Infusion Pump,21-04-2023,2,ImagingTech,Model-150,France,4721.174697,8.812245121,4,2,1,Component replacement after detecting voltage spike; functionality restored. minor issue temporary glitch,16737,12,7641.948756,0.247523259,0.073443997,Medium Risk,1
MD00048,X-Ray Machine,06-04-2015,10,RescueTech,Model-300,USA,13592.55798,11.80509972,3,2,3,sensor misalignment caused operational delay; recalibration initiated. critical failure system crash,87455,12,45421.38669,0.350617251,0.935491891,Medium Risk,1
MD00049,Infusion Pump,27-01-2020,5,RescueTech,Model-500,Japan,4151.199233,5.844444003,2,5,1,System performance degraded due to data lag; mitigation via system reset. software reset low priority fault,44517,12,9637.564619,0.159206551,0.321794891,Medium Risk,1
MD00050,Infusion Pump,15-10-2023,2,UltraMed,Model-450,Canada,23530.89917,24.5353772,2,2,3,System performance degraded due to voltage spike; mitigation via replacement. reboot failed critical malfunction,12687,12,9543.176298,1.481658962,0.239735149,High Risk,2
MD00051,CT Scanner,15-07-2019,6,UltraMed,Model-650,Canada,1328.735275,4.69505004,3,1,1,Component firmware update after detecting sensor misalignment; functionality restored. quick fix log file cleared,53106,12,52837.14061,-0.068413138,0.585830471,Medium Risk,1
MD00052,MRI Scanner,23-12-2018,7,RescueTech,Model-150,USA,2381.945475,4.413707924,5,2,1,voltage spike caused operational delay; software patch initiated. log cleaned log file cleared,57792,12,31144.93768,-0.118036745,0.790187598,Medium Risk,1
MD00053,X-Ray Machine,02-05-2023,2,ImagingTech,Model-650,Italy,6154.939901,2.942797924,1,2,1,System performance degraded due to circuit failure; mitigation via software patch. log cleaned stable condition,19563,12,8267.719416,0.503144752,0.272951278,Medium Risk,1
MD00054,X-Ray Machine,27-10-2016,9,ImagingTech,Model-250,UK,7555.179016,9.835504704,4,1,1,System performance degraded due to battery wear; mitigation via system reset. quick fix low priority fault,76447,12,77858.45353,0.13068349,0.704192125,Medium Risk,1
MD00055,PET Scanner,14-10-2015,10,RescueTech,Model-250,France,-3638.89767,14.66293062,5,4,2,Routine check completed; overheating observed during diagnostics. moderate delay average severity report,86485,12,21382.24889,0.137996211,0.75968758,Medium Risk,1
MD00056,Defibrillator,08-05-2019,6,RescueTech,Model-550,Italy,19437.22481,12.98235784,1,1,3,System performance degraded due to circuit failure; mitigation via inspection. critical failure hardware fault,49900,12,51033.21413,0.482159263,0.394403223,Medium Risk,1
MD00057,CT Scanner,18-03-2014,11,MedEquip,Model-500,France,4531.784137,4.907135892,1,1,1,sensor misalignment caused operational delay; component upgrade initiated. software reset system check passed,98859,12,96893.42325,0.156316971,0.805019741,Medium Risk,1
MD00058,CT Scanner,25-03-2016,9,RescueTech,Model-600,Italy,7052.899252,4.327583461,5,1,1,Routine check completed; circuit failure observed during diagnostics. minor issue stable condition,78823,12,77677.59162,0.139569318,0.789408718,Medium Risk,1
MD00059,X-Ray Machine,16-03-2017,8,RescueTech,Model-100,Japan,3086.235563,2.179652596,1,1,1,Component software patch after detecting abnormal sound; functionality restored. software reset stable condition,73170,12,70838.71647,-0.038313154,0.488935204,Medium Risk,1
MD00060,CT Scanner,19-02-2016,9,ScanPro,Model-100,UK,8466.030151,15.48529246,2,0,2,software crash caused operational delay; component upgrade initiated. reviewed logs performance warning,81599,12,27071.54425,0.004861462,0.766121754,Low Risk,0
MD00061,Infusion Pump,23-03-2018,7,ImagingTech,Model-250,UK,17959.30175,19.39330931,4,1,3,Component replacement after detecting abnormal sound; functionality restored. sensor replaced urgent inspection needed,63054,12,61622.37174,0.088617411,0.39042848,Medium Risk,1
MD00062,PET Scanner,24-04-2016,9,UltraMed,Model-200,Japan,5423.175442,12.11793576,2,1,2,software crash caused operational delay; recalibration initiated. moderate delay average severity report,76895,12,78250.45394,0.0193322,0.77572029,Medium Risk,1
MD00063,Infusion Pump,26-03-2020,5,CardioSync,Model-400,Japan,1260.048154,2.969457217,1,3,1,System performance degraded due to software crash; mitigation via inspection. quick fix quick fix,44030,12,13615.48196,0.042169023,0.361916976,Medium Risk,1
MD00064,PET Scanner,20-01-2014,11,ImagingTech,Model-250,UK,630.1481491,7.10876097,2,3,2,Routine check completed; overheating observed during diagnostics. reviewed logs non-critical warning,98256,12,31275.17457,-0.004753717,0.979958847,Medium Risk,1
MD00065,Infusion Pump,16-01-2020,5,ScanPro,Model-400,Canada,23125.32722,13.74133915,5,2,3,Component component upgrade after detecting overheating; functionality restored. data loss critical failure,44340,12,20824.25793,0.535488436,0.146534003,High Risk,2
MD00066,X-Ray Machine,25-06-2013,12,MedEquip,Model-550,UK,16287.66787,4.960160067,3,2,2,Component software patch after detecting overheating; functionality restored. reviewed logs component review,104607,12,52546.46412,-0.059781996,1.094673139,Medium Risk,1
MD00067,PET Scanner,13-09-2022,3,CardioSync,Model-200,Italy,13245.01341,5.395535651,1,2,3,Routine check completed; battery wear observed during diagnostics. reboot failed sensor replacement,26768,12,13012.1622,0.532012067,0.251061075,High Risk,2
MD00068,Defibrillator,17-05-2021,4,MedEquip,Model-500,UK,17449.44704,28.1203198,2,0,3,System performance degraded due to sensor misalignment; mitigation via system reset. data loss emergency shutdown,35661,12,28498.98833,0.658930686,0.286498234,Low Risk,0
MD00069,PET Scanner,04-10-2015,10,ImagingTech,Model-300,USA,20696.4481,9.203671186,5,3,3,Component replacement after detecting overheating; functionality restored. data loss system crash,85550,12,31362.6064,0.156172104,0.885647681,Medium Risk,1
MD00070,MRI Scanner,08-05-2016,9,CardioSync,Model-150,France,20201.78127,3.856586689,3,3,3,abnormal sound caused operational delay; inspection initiated. reboot failed high priority failure,78053,12,28057.42148,0.104248739,0.794535226,Medium Risk,1
MD00071,Defibrillator,10-12-2016,9,UltraMed,Model-400,USA,4459.509951,7.063485123,4,1,2,System performance degraded due to software crash; mitigation via recalibration. driver update driver update applied,79746,12,78608.019,-0.10354494,0.612258602,Medium Risk,1
MD00072,X-Ray Machine,10-02-2019,6,ScanPro,Model-200,Canada,7452.122957,12.88934179,5,4,2,sensor misalignment caused operational delay; system reset initiated. reviewed logs non-critical warning,53773,12,11493.23897,0.077772116,0.515707102,Medium Risk,1
MD00073,MRI Scanner,14-10-2019,6,ImagingTech,Model-150,Canada,2836.261266,12.14626278,3,2,2,Routine check completed; abnormal sound observed during diagnostics. driver update performance warning,52898,12,26494.67882,0.014348835,0.573217637,Medium Risk,1
MD00074,CT Scanner,03-11-2019,6,CardioSync,Model-500,Italy,8331.973871,15.12111257,2,2,2,sensor misalignment caused operational delay; system reset initiated. reviewed logs moderate delay,51994,12,25992.04799,0.186756434,0.340695601,Medium Risk,1
MD00075,Infusion Pump,05-07-2020,5,UltraMed,Model-150,USA,5120.724666,6.881171975,4,5,1,System performance degraded due to sensor misalignment; mitigation via firmware update. log cleaned temporary glitch,43534,12,8804.636805,0.201021464,0.437075071,Medium Risk,1
MD00076,PET Scanner,14-12-2020,5,RescueTech,Model-200,UK,13768.18138,5.843265882,4,2,2,Routine check completed; sensor misalignment observed during diagnostics. moderate delay device required inspection,42753,12,22402.68195,0.233856857,0.537078007,High Risk,2
MD00077,X-Ray Machine,09-08-2014,11,RescueTech,Model-200,Japan,19125.80971,9.505371178,2,1,3,Routine check completed; software crash observed during diagnostics. data loss critical failure,96216,12,97178.92746,0.141143977,0.933752595,Medium Risk,1
MD00078,CT Scanner,02-10-2013,12,UltraMed,Model-200,Japan,6347.483949,4.452162437,5,3,2,System performance degraded due to voltage spike; mitigation via firmware update. component issue moderate delay,106300,12,32970.34319,-0.10822608,0.952978221,Medium Risk,1
MD00079,MRI Scanner,04-10-2023,2,ImagingTech,Model-200,USA,10036.76018,12.77834404,1,2,3,Routine check completed; abnormal sound observed during diagnostics. reboot failed emergency shutdown,20890,12,10267.92435,0.622949379,0.029743738,Medium Risk,1
MD00080,PET Scanner,03-01-2024,1,ImagingTech,Model-500,Canada,18592.2982,16.7492263,5,5,3,System performance degraded due to overheating; mitigation via inspection. data loss critical malfunction,7089,12,2866.696105,2.078370021,-0.026651014,High Risk,2
MD00081,CT Scanner,03-04-2017,8,CardioSync,Model-350,France,10997.59951,16.99732913,5,0,2,Routine check completed; abnormal sound observed during diagnostics. moderate delay moderate delay,71838,12,25612.34254,0.138593271,0.626162789,Low Risk,0
MD00082,Defibrillator,20-02-2021,4,UltraMed,Model-400,USA,3771.783754,2.286778821,2,3,1,Routine check completed; voltage spike observed during diagnostics. minor issue system check passed,35571,12,12715.44905,0.239029608,0.410997985,Medium Risk,1
MD00083,MRI Scanner,22-06-2022,3,RescueTech,Model-250,Japan,2612.634755,3.356204802,1,3,1,Routine check completed; software crash observed during diagnostics. quick fix quick fix,24058,12,8466.996868,0.089313239,0.309279584,Medium Risk,1
MD00084,X-Ray Machine,29-12-2021,4,CardioSync,Model-300,Italy,11743.87627,8.894415145,1,3,2,Component system reset after detecting abnormal sound; functionality restored. driver update average severity report,34904,12,11720.64324,0.502233585,0.293302682,High Risk,2
MD00085,Infusion Pump,20-09-2022,3,ScanPro,Model-500,UK,3369.458418,4.735750277,2,1,1,circuit failure caused operational delay; firmware update initiated. software reset log file cleared,26027,12,26108.67562,0.207855898,0.167310689,Medium Risk,1
MD00086,X-Ray Machine,22-12-2022,3,CardioSync,Model-200,USA,9152.929389,4.464589866,3,2,2,circuit failure caused operational delay; inspection initiated. driver update moderate delay,26278,12,12297.39377,0.323358926,0.188884704,Medium Risk,1
MD00087,PET Scanner,27-08-2022,3,MedEquip,Model-150,Canada,13409.08475,18.71107162,3,1,2,System performance degraded due to sensor misalignment; mitigation via software patch. component issue device required inspection,27734,12,24818.98131,0.382399175,0.365504721,Medium Risk,1
MD00088,Defibrillator,13-03-2023,2,MedEquip,Model-150,Japan,4955.695436,5.267015648,5,4,1,System performance degraded due to data lag; mitigation via recalibration. log cleaned minor issue,20261,12,7561.798981,0.266851897,0.013937087,Medium Risk,1
MD00089,Infusion Pump,10-10-2019,6,ImagingTech,Model-200,Canada,9243.342858,5.768516331,4,5,1,sensor misalignment caused operational delay; inspection initiated. log cleaned stable condition,54357,12,11243.53497,0.286220703,0.501594283,Medium Risk,1
MD00090,Infusion Pump,05-09-2023,2,MedEquip,Model-550,France,3135.88256,11.45060187,3,1,1,Routine check completed; circuit failure observed during diagnostics. quick fix routine reset,17815,12,17681.23965,0.053924126,0.112121631,Medium Risk,1
MD00091,X-Ray Machine,30-10-2017,8,RescueTech,Model-300,Japan,6663.7559,6.542530068,5,2,1,Routine check completed; voltage spike observed during diagnostics. log cleaned minor issue,70530,12,37149.80884,0.038596002,0.730279117,Medium Risk,1
MD00092,Defibrillator,30-09-2015,10,ImagingTech,Model-200,Canada,4193.37764,5.23634185,2,2,1,Component software patch after detecting software crash; functionality restored. minor issue log file cleared,90485,12,41842.77875,-0.035966523,0.808572351,Medium Risk,1
MD00093,PET Scanner,04-01-2015,10,MedEquip,Model-550,France,6576.139335,4.834306412,1,0,1,data lag caused operational delay; system reset initiated. minor issue system check passed,86131,12,25994.58783,0.031085471,0.703463149,Low Risk,0
MD00094,MRI Scanner,27-07-2017,8,RescueTech,Model-500,Italy,8330.958821,14.67960223,3,4,2,Component recalibration after detecting voltage spike; functionality restored. driver update performance warning,71804,12,16802.49084,0.159711335,0.820405987,Medium Risk,1
MD00095,MRI Scanner,27-09-2023,2,MedEquip,Model-500,Italy,4498.022367,7.576491461,1,4,1,System performance degraded due to sensor misalignment; mitigation via inspection. minor issue stable condition,15928,12,3805.956047,0.262948432,0.183989485,Medium Risk,1
MD00096,Infusion Pump,12-06-2017,8,UltraMed,Model-100,France,15227.67014,4.198674652,2,3,2,Component component upgrade after detecting data lag; functionality restored. driver update driver update applied,67963,12,23395.89585,0.233857739,0.678201172,Medium Risk,1
MD00097,Infusion Pump,24-10-2017,8,MedEquip,Model-500,Italy,10592.66945,12.3536559,4,1,2,Routine check completed; abnormal sound observed during diagnostics. component issue non-critical warning,70956,12,69570.25221,0.00661128,0.522218558,Medium Risk,1
MD00098,Infusion Pump,28-06-2016,9,ImagingTech,Model-500,UK,6147.063172,5.355495801,5,3,1,Component firmware update after detecting battery wear; functionality restored. minor issue temporary glitch,76540,12,24207.84015,0.149528952,0.712472055,Medium Risk,1
MD00099,Infusion Pump,25-12-2023,2,ImagingTech,Model-300,UK,4969.731055,11.23379215,1,0,2,Routine check completed; voltage spike observed during diagnostics. component issue non-critical warning,16975,12,25098.53103,0.333026406,0.088307681,Low Risk,0
MD00100,MRI Scanner,13-02-2021,4,UltraMed,Model-350,UK,4752.437211,7.949746856,2,2,3,abnormal sound caused operational delay; component upgrade initiated. reboot failed urgent inspection needed,36947,12,16448.59955,0.11571783,0.319303947,Medium Risk,1
MD00101,MRI Scanner,07-11-2015,10,UltraMed,Model-100,Canada,12134.7244,18.75466077,5,0,3,Component system reset after detecting software crash; functionality restored. sensor replaced critical malfunction,86332,12,25762.76174,0.051429001,0.640400858,Low Risk,0
MD00102,CT Scanner,26-05-2015,10,ScanPro,Model-250,Italy,6458.377626,6.553659143,4,0,1,Component inspection after detecting battery wear; functionality restored. quick fix system check passed,90093,12,25170.02922,0.158152179,0.840981482,Low Risk,0
MD00103,MRI Scanner,12-06-2022,3,ImagingTech,Model-550,Canada,11499.58391,13.52794153,2,3,2,Component replacement after detecting circuit failure; functionality restored. driver update device required inspection,23147,12,8553.038236,0.573247243,0.328000793,High Risk,2
MD00104,Defibrillator,20-04-2015,10,RescueTech,Model-600,Italy,13824.88651,18.76800656,1,3,3,Component firmware update after detecting data lag; functionality restored. critical failure critical failure,89049,12,29028.98813,0.20096701,0.773267144,Medium Risk,1
MD00105,PET Scanner,02-10-2014,11,ImagingTech,Model-100,USA,7094.312386,7.881598332,1,1,2,System performance degraded due to data lag; mitigation via inspection. component issue moderate delay,94439,12,93852.14402,-0.000133082,0.938746809,Medium Risk,1
MD00106,Infusion Pump,05-01-2017,8,UltraMed,Model-650,Canada,2966.825296,3.535134756,1,1,2,Component replacement after detecting circuit failure; functionality restored. moderate delay non-critical warning,69810,12,68831.08757,-0.056215515,0.557752864,Medium Risk,1
MD00107,Infusion Pump,05-04-2017,8,CardioSync,Model-200,France,4387.19874,5.437728943,1,1,1,Component firmware update after detecting battery wear; functionality restored. software reset minor issue,70379,12,70331.9065,0.118406752,0.829874627,Medium Risk,1
MD00108,MRI Scanner,26-06-2017,8,CardioSync,Model-600,Japan,2607.539651,2.653532034,5,1,1,Component software patch after detecting battery wear; functionality restored. software reset quick fix,69688,12,69950.7598,-0.113886544,0.559526113,Medium Risk,1
MD00109,PET Scanner,02-02-2016,9,CardioSync,Model-250,UK,16602.9772,23.18625859,3,0,3,Routine check completed; data lag observed during diagnostics. sensor replaced urgent inspection needed,78483,12,24234.01256,0.072265595,0.726075056,Low Risk,0
MD00110,Infusion Pump,13-09-2022,3,MedEquip,Model-350,UK,11769.81858,6.430400544,1,1,2,Component component upgrade after detecting software crash; functionality restored. moderate delay average severity report,24267,12,27216.96946,0.46230677,0.164611468,Medium Risk,1
MD00111,X-Ray Machine,21-09-2022,3,ImagingTech,Model-450,Japan,2239.415198,16.4115566,5,1,2,System performance degraded due to circuit failure; mitigation via component upgrade. reviewed logs device required inspection,28244,12,26986.59036,0.217014629,0.151616733,Medium Risk,1
MD00112,Infusion Pump,29-11-2013,12,ScanPro,Model-650,Italy,3106.995728,2.044746419,5,4,1,System performance degraded due to software crash; mitigation via inspection. quick fix routine reset,103413,12,28991.7533,0.147433609,1.15391327,Medium Risk,1
MD00113,Infusion Pump,11-06-2018,7,RescueTech,Model-100,Canada,11616.20793,21.34709512,2,3,3,battery wear caused operational delay; recalibration initiated. data loss emergency shutdown,59612,12,22492.5822,0.228117435,0.726421764,High Risk,2
MD00114,Infusion Pump,04-10-2022,3,ImagingTech,Model-350,Japan,-450.7965137,15.67090541,5,4,2,circuit failure caused operational delay; firmware update initiated. driver update performance warning,26145,12,5577.112105,-0.21820522,0.196407236,Medium Risk,1
MD00115,Infusion Pump,23-02-2019,6,ScanPro,Model-500,UK,7845.717221,6.778190973,1,2,2,abnormal sound caused operational delay; software patch initiated. driver update non-critical warning,51593,12,26131.56499,-0.091695156,0.838889751,Medium Risk,1
MD00116,Infusion Pump,25-09-2018,7,CardioSync,Model-100,USA,19348.01645,11.20902171,5,0,3,Component system reset after detecting circuit failure; functionality restored. data loss urgent inspection needed,62484,12,26316.87994,0.30146675,0.691101427,Low Risk,0
